datetime,megawatt
25-01-2023 00:00,17483
25-01-2023 00:15,22639
25-01-2023 00:30,22471
25-01-2023 00:45,25006
25-01-2023 01:00,19536
25-01-2023 01:15,13423
25-01-2023 01:30,21119
25-01-2023 01:45,10900
25-01-2023 02:00,13374
25-01-2023 02:15,24280
25-01-2023 02:30,22886
25-01-2023 02:45,14552
25-01-2023 03:00,13447
25-01-2023 03:15,19175
25-01-2023 03:30,18766
25-01-2023 03:45,22735
25-01-2023 04:00,14542
25-01-2023 04:15,22132
25-01-2023 04:30,19631
25-01-2023 04:45,23634
25-01-2023 05:00,14138
25-01-2023 05:15,19266
25-01-2023 05:30,18666
25-01-2023 05:45,18478
25-01-2023 06:00,25002
25-01-2023 06:15,25485
25-01-2023 06:30,19963
25-01-2023 06:45,25224
25-01-2023 07:00,22921
25-01-2023 07:15,16161
25-01-2023 07:30,24712
25-01-2023 07:45,19622
25-01-2023 08:00,12950
25-01-2023 08:15,22095
25-01-2023 08:30,23482
25-01-2023 08:45,24090
25-01-2023 09:00,23529
25-01-2023 09:15,11871
25-01-2023 09:30,13909
25-01-2023 09:45,25417
25-01-2023 10:00,13034
25-01-2023 10:15,12511
25-01-2023 10:30,13636
25-01-2023 10:45,19779
25-01-2023 11:00,16572
25-01-2023 11:15,15435
25-01-2023 11:30,17786
25-01-2023 11:45,14399
25-01-2023 12:00,11334
25-01-2023 12:15,16337
25-01-2023 12:30,20651
25-01-2023 12:45,23131
25-01-2023 13:00,20875
25-01-2023 13:15,21048
25-01-2023 13:30,13299
25-01-2023 13:45,10505
25-01-2023 14:00,23350
25-01-2023 14:15,22480
25-01-2023 14:30,15173
25-01-2023 14:45,13403
25-01-2023 15:00,16715
25-01-2023 15:15,21700
25-01-2023 15:30,12893
25-01-2023 15:45,11177
25-01-2023 16:00,13471
25-01-2023 16:15,11035
25-01-2023 16:30,13864
25-01-2023 16:45,24854
25-01-2023 17:00,14134
25-01-2023 17:15,19852
25-01-2023 17:30,22831
25-01-2023 17:45,18790
25-01-2023 18:00,15277
25-01-2023 18:15,25674
25-01-2023 18:30,19067
25-01-2023 18:45,17000
25-01-2023 19:00,19452
25-01-2023 19:15,24745
25-01-2023 19:30,19753
25-01-2023 19:45,21846
25-01-2023 20:00,16891
25-01-2023 20:15,20368
25-01-2023 20:30,10329
25-01-2023 20:45,12423
25-01-2023 21:00,22172
25-01-2023 21:15,22552
25-01-2023 21:30,21620
25-01-2023 21:45,25278
25-01-2023 22:00,9775
25-01-2023 22:15,17301
25-01-2023 22:30,19127
25-01-2023 22:45,13946
25-01-2023 23:00,13521
25-01-2023 23:15,22066
25-01-2023 23:30,21314
25-01-2023 23:45,25162
26-01-2023 00:00,15565
26-01-2023 00:15,25168
26-01-2023 00:30,16034
26-01-2023 00:45,12831
26-01-2023 01:00,9774
26-01-2023 01:15,23915
26-01-2023 01:30,12452
26-01-2023 01:45,15714
26-01-2023 02:00,11054
26-01-2023 02:15,17284
26-01-2023 02:30,21901
26-01-2023 02:45,11229
26-01-2023 03:00,24260
26-01-2023 03:15,20262
26-01-2023 03:30,25143
26-01-2023 03:45,20028
26-01-2023 04:00,11480
26-01-2023 04:15,24832
26-01-2023 04:30,21033
26-01-2023 04:45,23261
26-01-2023 05:00,15771
26-01-2023 05:15,22099
26-01-2023 05:30,10117
26-01-2023 05:45,18165
26-01-2023 06:00,15948
26-01-2023 06:15,18744
26-01-2023 06:30,23817
26-01-2023 06:45,20577
26-01-2023 07:00,23044
26-01-2023 07:15,17853
26-01-2023 07:30,14785
26-01-2023 07:45,18646
26-01-2023 08:00,10565
26-01-2023 08:15,14697
26-01-2023 08:30,18711
26-01-2023 08:45,24317
26-01-2023 09:00,15925
26-01-2023 09:15,11412
26-01-2023 09:30,21650
26-01-2023 09:45,13477
26-01-2023 10:00,19877
26-01-2023 10:15,17642
26-01-2023 10:30,11555
26-01-2023 10:45,13858
26-01-2023 11:00,17652
26-01-2023 11:15,9929
26-01-2023 11:30,20642
26-01-2023 11:45,15049
26-01-2023 12:00,24094
26-01-2023 12:15,25582
26-01-2023 12:30,22215
26-01-2023 12:45,12668
26-01-2023 13:00,13344
26-01-2023 13:15,14828
26-01-2023 13:30,20673
26-01-2023 13:45,10730
26-01-2023 14:00,13557
26-01-2023 14:15,18274
26-01-2023 14:30,14913
26-01-2023 14:45,23537
26-01-2023 15:00,16807
26-01-2023 15:15,18536
26-01-2023 15:30,16284
26-01-2023 15:45,25176
26-01-2023 16:00,10348
26-01-2023 16:15,15934
26-01-2023 16:30,13919
26-01-2023 16:45,23075
26-01-2023 17:00,16068
26-01-2023 17:15,17860
26-01-2023 17:30,24420
26-01-2023 17:45,20202
26-01-2023 18:00,13195
26-01-2023 18:15,20720
26-01-2023 18:30,15843
26-01-2023 18:45,21893
26-01-2023 19:00,24537
26-01-2023 19:15,10156
26-01-2023 19:30,23160
26-01-2023 19:45,12469
26-01-2023 20:00,24116
26-01-2023 20:15,22125
26-01-2023 20:30,11836
26-01-2023 20:45,17122
26-01-2023 21:00,17280
26-01-2023 21:15,22380
26-01-2023 21:30,18194
26-01-2023 21:45,15492
26-01-2023 22:00,14493
26-01-2023 22:15,24996
26-01-2023 22:30,23993
26-01-2023 22:45,13191
26-01-2023 23:00,18572
26-01-2023 23:15,14278
26-01-2023 23:30,15721
26-01-2023 23:45,13582
27-01-2023 00:00,19713
27-01-2023 00:15,17245
27-01-2023 00:30,15313
27-01-2023 00:45,12394
27-01-2023 01:00,18840
27-01-2023 01:15,21993
27-01-2023 01:30,19151
27-01-2023 01:45,21234
27-01-2023 02:00,10803
27-01-2023 02:15,14587
27-01-2023 02:30,14623
27-01-2023 02:45,10569
27-01-2023 03:00,12540
27-01-2023 03:15,16564
27-01-2023 03:30,22649
27-01-2023 03:45,22590
27-01-2023 04:00,12156
27-01-2023 04:15,16361
27-01-2023 04:30,16562
27-01-2023 04:45,12411
27-01-2023 05:00,18414
27-01-2023 05:15,22130
27-01-2023 05:30,9730
27-01-2023 05:45,25593
27-01-2023 06:00,14211
27-01-2023 06:15,13242
27-01-2023 06:30,21234
27-01-2023 06:45,19871
27-01-2023 07:00,14738
27-01-2023 07:15,19986
27-01-2023 07:30,22453
27-01-2023 07:45,21508
27-01-2023 08:00,18489
27-01-2023 08:15,16208
27-01-2023 08:30,11469
27-01-2023 08:45,19601
27-01-2023 09:00,17731
27-01-2023 09:15,10562
27-01-2023 09:30,24173
27-01-2023 09:45,23203
27-01-2023 10:00,24285
27-01-2023 10:15,16000
27-01-2023 10:30,15170
27-01-2023 10:45,16866
27-01-2023 11:00,10375
27-01-2023 11:15,25165
27-01-2023 11:30,22741
27-01-2023 11:45,21527
27-01-2023 12:00,16954
27-01-2023 12:15,24821
27-01-2023 12:30,10847
27-01-2023 12:45,24644
27-01-2023 13:00,22055
27-01-2023 13:15,17322
27-01-2023 13:30,22057
27-01-2023 13:45,21334
27-01-2023 14:00,22936
27-01-2023 14:15,16276
27-01-2023 14:30,19161
27-01-2023 14:45,21896
27-01-2023 15:00,21516
27-01-2023 15:15,11892
27-01-2023 15:30,14797
27-01-2023 15:45,11942
27-01-2023 16:00,13881
